(0.0, -0.16666666666666666, -1.5707963267948966),
(0.0, -0.5, -1.5707963267948966),
(0.0, -0.6666666666666666, -1.5707963267948966),
(0.0, -0.8333333333333334, -1.5707963267948966),
(0.0, -1.0, -1.5707963267948966),
(0.0, -1.1666666666666667, -1.5707963267948966),
(0.0, -1.3333333333333333, -1.5707963267948966),
(-0.16666666666666666, -1.3333333333333333, 3.141592653589793),
(-0.5, -1.3333333333333333, 3.141592653589793),
(-0.6666666666666666, -1.3333333333333333, 3.141592653589793),
(-0.8333333333333334, -1.3333333333333333, 3.141592653589793),
(-0.8333333333333334, -1.5, -1.5707963267948966),
(-0.8333333333333334, -1.6666666666666667, -1.5707963267948966),
(-0.8333333333333334, -1.8333333333333333, -1.5707963267948966),
(-0.8333333333333334, -2.0, -1.5707963267948966),
(-1.0, -2.0, 3.141592653589793),
(-1.1666666666666667, -2.0, 3.141592653589793),
(-1.1666666666666667, -2.1666666666666665, -1.5707963267948966),
(-1.3333333333333333, -2.1666666666666665, 3.141592653589793),
(-1.3333333333333333, -2.3333333333333335, -1.5707963267948966),
(-1.3333333333333333, -2.5, -1.5707963267948966),
(-1.3333333333333333, -2.6666666666666665, -1.5707963267948966),
(-1.5, -2.6666666666666665, 3.141592653589793),
(-1.5, -2.8333333333333335, -1.5707963267948966),
(-1.6666666666666667, -2.8333333333333335, 3.141592653589793),
(-1.8333333333333333, -2.8333333333333335, 3.141592653589793),
(-2.0, -2.8333333333333335, 3.141592653589793),
(-2.1666666666666665, -2.8333333333333335, 3.141592653589793),
(-2.3333333333333335, -2.8333333333333335, 3.141592653589793),
(-2.5, -2.8333333333333335, 3.141592653589793),
(-2.6666666666666665, -2.8333333333333335, 3.141592653589793),
(-2.8333333333333335, -2.8333333333333335, 3.141592653589793),
(-3.0, -2.8333333333333335, 3.141592653589793),
(-3.1666666666666665, -2.8333333333333335, 3.141592653589793),
(-3.3333333333333335, -2.8333333333333335, 3.141592653589793),
(-3.5, -2.8333333333333335, 3.141592653589793),
(-3.6666666666666665, -2.8333333333333335, 3.141592653589793),
(-3.8333333333333335, -2.8333333333333335, 3.141592653589793),
(-4.0, -2.8333333333333335, 3.141592653589793),
(-4.166666666666667, -2.8333333333333335, 3.141592653589793),
(-4.333333333333333, -2.8333333333333335, 3.141592653589793),
(-4.5, -2.8333333333333335, 3.141592653589793),
(-4.666666666666667, -2.8333333333333335, 3.141592653589793),
(-4.833333333333333, -2.8333333333333335, 3.141592653589793),
(-5.0, -2.8333333333333335, 3.141592653589793),
