(0.0, -0.1, -1.5707963267948966),
(0.0, -0.3, -1.5707963267948966),
(0.0, -0.4, -1.5707963267948966),
(0.0, -0.5, -1.5707963267948966),
(0.0, -0.6, -1.5707963267948966),
(0.0, -0.7, -1.5707963267948966),
(0.0, -0.8, -1.5707963267948966),
(0.0, -0.9, -1.5707963267948966),
(0.0, -1.0, -1.5707963267948966),
(-0.1, -1.0, 3.141592653589793),
(-0.2, -1.1, -1.5707963267948966),
(-0.2, -1.2, -1.5707963267948966),
(-0.2, -1.3, -1.5707963267948966),
(-0.2, -1.4, -1.5707963267948966),
(-0.2, -1.5, -1.5707963267948966),
(-0.2, -1.6, -1.5707963267948966),
(-0.2, -1.7, -1.5707963267948966),
(-0.2, -1.8, -1.5707963267948966),
(-0.2, -1.9, -1.5707963267948966),
(-0.2, -2.0, -1.5707963267948966),
(-0.2, -2.1, -1.5707963267948966),
(-0.2, -2.2, -1.5707963267948966),
(-0.2, -2.3, -1.5707963267948966),
(-0.2, -2.4, -1.5707963267948966),
(-0.1, -2.4, 0.0),
(0.1, -2.4, 0.0),
(0.2, -2.4, 0.0),
